"댓글리뷰","고객평점"
"중학생일때 조에게 동화되어서 너무나 재미있게 읽었던 기억으로 보게된 영화,   조에 대한 기억만 남았었는데.....나의 추억을 생각하면서 재미있게 보았다","9"
"오래된 책의 삭은 종이 냄새와 새 책의 빳빳한 종이 질감이 동시에 느껴지는 영화","9"
"","9"
"가족애를 그린 영화.어릴적 자라나던  회상속의화목한 가정을 떠올리며자매간 사랑과 우애를 느끼게 해준다.다양한 여성의 꿈과 현실을 네명의 자매는대처하는데...","7"
"","10"
"원작을 읽지 않았거나 내용이 잘 기억나지 않는 분들에게는 재미 없겠네요.","5"
"ㅎ중고딩시절  설레임으로 즐거운시간이였음^^","7"
"산만하고 지루함","2"
"졸다가 나옴.","5"
"그냥  그냥... 예전에 원작에 이런내용이 있었지하고 되새기며 본영화...그냥 원작이나 한번더 읽을걸 하게 되었다는..","1"
"","10"
"과거의 여성상이라고는 하나, 현재도 그러하다 미래에도 그럴것이다사는 방식만 다를 뿐 전 세계 보편적 여성상이다  네 자매의 뚜렷한 캐릭터를 통해 여성을 잘 나타내 준 고전 명작이다","7"
"","1"
"가난하다고 말하지만 별로 가난해 보이지 않는 가정의 둘째언니 남친 빼았는 네째 이야기.","6"
"정성을 들였고영화적 기교를 주고자하는건  인정하는데그래서  좀산만한건  사실.","5"
"요즘 여성상을 반영한 영화,  따뜻했어요.","9"
"감동적이었고 잔잔한 여운을 주는 영화였어요.","10"
"","7"
"겨울이 한층 더 따뜻해졌다.","10"
"어릴 적 추억 사진을 다시 꺼내 본 느낌이다.","10"
"","4"
"로리 에이미 무엇ㅡㅡ원작파괴를 이렇게 까지 해 가면서 억지 감동 주려는게 너무 싫음","7"
"오랜만에 너무나 좋았던 영화또 보고싶다","10"
"어릴적 애정했던 고전에서의 감동보다는 조금 못미치는 거 같아서 아쉽다","6"
"너무 좋아요,,,","10"
"","9"
"초반에 과거와 현재를 오가는게 조금 헷갈리긴 했는데 너무 너무 좋았어요. 작은 아씨들을 책으로 본게 너무 오래 전이라 좀 기억이 가물가물 하신 분들은 보기 전에 인물 파악을 미리 다 해놓고 보면 더 좋을 것 같아요.","10"
"어릴적 상상하며 읽던 것이 화면으로 옮겨졌다. 꼭  책을 읽고 영화보는 것을 추천","9"
"아무리  영화로 디테일이 뛰어나더라도책을 직접 읽으며 본인이 상상하며 느끼는 그 설렘과 감동을 뛰어넘을 수는 없는듯","7"
"지루한 소설을  영화로라도 비교적 맘편히 완주할 수 있어서 다행이었어요.  영상미가 돋보이는 괜찮은 작품!","8"
"재밌었당","10"
"너무 산만해서 빨리 끜나길 바라면서 봤음","3"
